"Journal name","JCR Abbreviation","Publisher","ISSN","eISSN","Category","Edition","Total Citations","2023 JIF","JIF Quartile","2023 JCI","% of Citable OA","Journal"
"TRENDS IN ECOLOGY & EVOLUTION","TRENDS ECOL EVOL","CELL PRESS","0169-5347","1872-8383","EVOLUTIONARY BIOLOGY","SCIE","39,058","16.7","Q1","1.99","33.60%","trends in ecology & evolution"
"Nature Ecology & Evolution","NAT ECOL EVOL","NATURE PORTFOLIO","2397-334X","2397-334X","EVOLUTIONARY BIOLOGY","SCIE","18,920","14.1","Q1","3.88","26.16%","nature ecology & evolution"
"Annual Review of Ecology Evolution and Systematics","ANNU REV ECOL EVOL S","ANNUAL REVIEWS","1543-592X","1545-2069","EVOLUTIONARY BIOLOGY","SCIE","20,574","11.2","Q1","1.29","29.58%","annual review of ecology evolution and systematics"
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","OXFORD UNIV PRESS","0737-4038","1537-1719","EVOLUTIONARY BIOLOGY","SCIE","62,437","11.0","Q1","2.47","95.42%","molecular biology and evolution"
"Systematic Biology","SYST BIOL","OXFORD UNIV PRESS","1063-5157","1076-836X","EVOLUTIONARY BIOLOGY","SCIE","18,274","6.1","Q1","1.82","45.15%","systematic biology"
"Molecular Ecology Resources","MOL ECOL RESOUR","WILEY","1755-098X","1755-0998","EVOLUTIONARY BIOLOGY","SCIE","15,128","5.5","Q1","1.52","39.54%","molecular ecology resources"
"SYSTEMATIC ENTOMOLOGY","SYST ENTOMOL","WILEY","0307-6970","1365-3113","EVOLUTIONARY BIOLOGY","SCIE","3,138","4.7","Q1","1.83","28.99%","systematic entomology"
"MOLECULAR ECOLOGY","MOL ECOL","WILEY","0962-1083","1365-294X","EVOLUTIONARY BIOLOGY","SCIE","38,504","4.5","Q1","1.16","41.64%","molecular ecology"
"EvoDevo","EVODEVO","BMC","N/A","2041-9139","EVOLUTIONARY BIOLOGY","SCIE","887","4.1","Q1","0.91","100.00%","evodevo"
"CLADISTICS","CLADISTICS","WILEY","0748-3007","1096-0031","EVOLUTIONARY BIOLOGY","SCIE","3,694","3.9","Q1","1.66","21.98%","cladistics"
"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","P ROY SOC B-BIOL SCI","ROYAL SOC","0962-8452","1471-2954","EVOLUTIONARY BIOLOGY","SCIE","56,555","3.8","Q1","1.13","57.04%","proceedings of the royal society b-biological sciences"
"Evolution Letters","EVOL LETT","OXFORD UNIV PRESS","N/A","2056-3744","EVOLUTIONARY BIOLOGY","SCIE","1,184","3.8","Q1","1.05","79.43%","evolution letters"
"MOLECULAR PHYLOGENETICS AND EVOLUTION","MOL PHYLOGENET EVOL","ACADEMIC PRESS INC ELSEVIER SCIENCE","1055-7903","1095-9513","EVOLUTIONARY BIOLOGY","SCIE","19,209","3.6","Q1","1.04","18.26%","molecular phylogenetics and evolution"
"Evolutionary Applications","EVOL APPL","WILEY","1752-4571","1752-4571","EVOLUTIONARY BIOLOGY","SCIE","6,866","3.5","Q2","0.99","76.76%","evolutionary applications"
"Evolution Medicine and Public Health","EVOL MED PUBLIC HLTH","OXFORD UNIV PRESS","N/A","2050-6201","EVOLUTIONARY BIOLOGY","SCIE","1,003","3.3","Q2","0.84","96.69%","evolution medicine and public health"
"JOURNAL OF HUMAN EVOLUTION","J HUM EVOL","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0047-2484","1095-8606","EVOLUTIONARY BIOLOGY","SCIE","8,652","3.1","Q2","1.56","16.35%","journal of human evolution"
"HEREDITY","HEREDITY","SPRINGERNATURE","0018-067X","1365-2540","EVOLUTIONARY BIOLOGY","SCIE","9,314","3.1","Q2","0.92","42.29%","heredity"
"EVOLUTION","EVOLUTION","OXFORD UNIV PRESS","0014-3820","1558-5646","EVOLUTIONARY BIOLOGY","SCIE","27,752","3.1","Q2","0.90","37.83%","evolution"
"Genome Biology and Evolution","GENOME BIOL EVOL","OXFORD UNIV PRESS","1759-6653","1759-6653","EVOLUTIONARY BIOLOGY","SCIE","8,733","3.1","Q2","0.90","95.33%","genome biology and evolution"
"JOURNAL OF HEREDITY","J HERED","OXFORD UNIV PRESS INC","0022-1503","1465-7333","EVOLUTIONARY BIOLOGY","SCIE","5,778","3.0","Q2","0.91","43.11%","journal of heredity"
"TAXON","TAXON","WILEY","0040-0262","1996-8175","EVOLUTIONARY BIOLOGY","SCIE","5,420","3.0","Q2","0.64","17.18%","taxon"
"Biology Letters","BIOL LETTERS","ROYAL SOC","1744-9561","1744-957X","EVOLUTIONARY BIOLOGY","SCIE","11,597","2.8","Q2","0.82","54.06%","biology letters"
"AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY","AM J PHYS ANTHROPOL","WILEY","0002-9483","1096-8644","EVOLUTIONARY BIOLOGY","SCIE","11,956","2.6","Q2","1.06","10.92%","american journal of physical anthropology"
"PALEOBIOLOGY","PALEOBIOLOGY","CAMBRIDGE UNIV PRESS","0094-8373","1938-5331","EVOLUTIONARY BIOLOGY","SCIE","4,128","2.6","Q2","0.94","65.87%","paleobiology"
"EVOLUTION & DEVELOPMENT","EVOL DEV","WILEY","1520-541X","1525-142X","EVOLUTIONARY BIOLOGY","SCIE","1,733","2.6","Q2","0.68","47.37%","evolution & development"
"AMERICAN NATURALIST","AM NAT","UNIV CHICAGO PRESS","0003-0147","1537-5323","EVOLUTIONARY BIOLOGY","SCIE","25,793","2.4","Q2","0.86","19.09%","american naturalist"
"ZOOLOGICA SCRIPTA","ZOOL SCR","WILEY","0300-3256","1463-6409","EVOLUTIONARY BIOLOGY","SCIE","2,404","2.3","Q2","1.05","21.13%","zoologica scripta"
"BMC Ecology and Evolution","BMC ECOL EVOL","BMC","N/A","2730-7182","EVOLUTIONARY BIOLOGY","SCIE","842","2.3","Q2","0.71","99.76%","bmc ecology and evolution"
"Ecology and Evolution","ECOL EVOL","WILEY","2045-7758","2045-7758","EVOLUTIONARY BIOLOGY","SCIE","25,620","2.3","Q2","0.65","68.41%","ecology and evolution"
"JOURNAL OF SYSTEMATIC PALAEONTOLOGY","J SYST PALAEONTOL","TAYLOR & FRANCIS LTD","1477-2019","1478-0941","EVOLUTIONARY BIOLOGY","SCIE","1,477","2.2","Q3","0.94","13.45%","journal of systematic palaeontology"
"Evolutionary Human Sciences","EVOL HUM SCI","CAMBRIDGE UNIV PRESS","N/A","2513-843X","EVOLUTIONARY BIOLOGY","ESCI","408","2.2","Q3","0.86","100.00%","evolutionary human sciences"
"Integrative Organismal Biology","INTEGR ORGANISM BIOL","OXFORD UNIV PRESS","N/A","2517-4843","EVOLUTIONARY BIOLOGY","SCIE","462","2.2","Q3","0.78","94.74%","integrative organismal biology"
"JOURNAL OF EVOLUTIONARY BIOLOGY","J EVOLUTION BIOL","WILEY","1010-061X","1420-9101","EVOLUTIONARY BIOLOGY","SCIE","9,444","2.1","Q3","0.58","42.82%","journal of evolutionary biology"
"JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH","J ZOOL SYST EVOL RES","WILEY-HINDAWI","0947-5745","1439-0469","EVOLUTIONARY BIOLOGY","SCIE","1,422","2.0","Q3","0.76","55.12%","journal of zoological systematics and evolutionary research"
"BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY","BIOL J LINN SOC","OXFORD UNIV PRESS","0024-4066","1095-8312","EVOLUTIONARY BIOLOGY","SCIE","9,272","2.0","Q3","0.54","9.57%","biological journal of the linnean society"
"JOURNAL OF MOLECULAR EVOLUTION","J MOL EVOL","SPRINGER","0022-2844","1432-1432","EVOLUTIONARY BIOLOGY","SCIE","7,437","2.0","Q3","0.50","37.34%","journal of molecular evolution"
"ORGANISMS DIVERSITY & EVOLUTION","ORG DIVERS EVOL","SPRINGER HEIDELBERG","1439-6092","1618-1077","EVOLUTIONARY BIOLOGY","SCIE","1,481","1.9","Q3","0.83","27.92%","organisms diversity & evolution"
"Evolutionary Biology","EVOL BIOL","SPRINGER","0071-3260","1934-2845","EVOLUTIONARY BIOLOGY","SCIE","1,657","1.9","Q3","0.56","30.85%","evolutionary biology"
"ANTHROPOLOGICAL SCIENCE","ANTHROPOL SCI","ANTHROPOLOGICAL SOC NIPPON","0918-7960","1348-8570","EVOLUTIONARY BIOLOGY","SCIE","380","1.9","Q3","0.35","100.00%","anthropological science"
"INVERTEBRATE SYSTEMATICS","INVERTEBR SYST","CSIRO PUBLISHING","1445-5226","1447-2600","EVOLUTIONARY BIOLOGY","SCIE","1,305","1.8","Q3","0.95","13.79%","invertebrate systematics"
