Journal,JIF,Publisher,Publisher2
proceedings of the academy of natural sciences of philadelphia,0.5,ACAD NATURAL SCIENCES PHILA,ACAD NATURAL SCIENCES PHILA
molecular phylogenetics and evolution,3.6,ACADEMIC PRESS INC ELSEVIER SCIENCE,ELSEVIER
theoretical population biology,1.2,ACADEMIC PRESS INC ELSEVIER SCIENCE,ELSEVIER
journal of arid environments,2.6,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,ELSEVIER
journal of human evolution,3.1,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,ELSEVIER
applied ecology and environmental research,0.6,ALOKI Applied Ecological Research and Forensic Inst Ltd,ALOKI Applied Ecological Research and Forensic Inst Ltd
ecosystem health and sustainability,4.2,AMER ASSOC ADVANCEMENT SCIENCE,AMER ASSOC ADVANCEMENT SCIENCE
bulletin of the american museum of natural history,5.1,AMER MUSEUM NATURAL HISTORY,AMER MUSEUM NATURAL HISTORY
systematic botany,0.9,AMER SOC PLANT TAXONOMISTS,AMER SOC PLANT TAXONOMISTS
annual review of ecology evolution and systematics,11.2,ANNUAL REVIEWS,ANNUAL REVIEWS
anthropological science,1.9,ANTHROPOLOGICAL SOC NIPPON,ANTHROPOLOGICAL SOC NIPPON
journal of wildlife and biodiversity,0.8,"ARAK UNIV, ARAK","ARAK UNIV, ARAK"
ecosistemas,0.8,ASOCIACION ESPANOLA ECOLOGIA TERRESTRE,ASOCIACION ESPANOLA ECOLOGIA TERRESTRE
eco mont-journal on protected mountain areas research,0.7,"AUSTRIAN ACAD SCIENCES PRESS, UNIV INNSBRUCK","AUSTRIAN ACAD SCIENCES PRESS, UNIV INNSBRUCK"
bmc ecology and evolution,2.3,BMC,SPRINGER
evodevo,4.1,BMC,SPRINGER
movement ecology,3.4,BMC,SPRINGER
western north american naturalist,0.5,BRIGHAM YOUNG UNIV,BRIGHAM YOUNG UNIV
insect systematics & evolution,1.3,BRILL,BRILL
israel journal of ecology & evolution,1.3,BRILL,BRILL
evolutionary human sciences,2.2,CAMBRIDGE UNIV PRESS,CAMBRIDGE UNIV PRESS
journal of tropical ecology,1,CAMBRIDGE UNIV PRESS,CAMBRIDGE UNIV PRESS
oryx,2.2,CAMBRIDGE UNIV PRESS,CAMBRIDGE UNIV PRESS
paleobiology,2.6,CAMBRIDGE UNIV PRESS,CAMBRIDGE UNIV PRESS
polar record,1.4,CAMBRIDGE UNIV PRESS,CAMBRIDGE UNIV PRESS
arctic science,2.7,CANADIAN SCIENCE PUBLISHING,CANADIAN SCIENCE PUBLISHING
trends in ecology & evolution,16.7,CELL PRESS,CELL PRESS
international journal of ecology & development,0.2,CENTRE ENVIRONMENT SOCIAL & ECONOMIC RESEARCH PUBL-CESER,CENTRE ENVIRONMENT SOCIAL & ECONOMIC RESEARCH PUBL-CESER
biogeosciences,3.9,COPERNICUS GESELLSCHAFT MBH,COPERNICUS GESELLSCHAFT MBH
web ecology,2.3,COPERNICUS GESELLSCHAFT MBH,COPERNICUS GESELLSCHAFT MBH
australian systematic botany,1.5,CSIRO PUBLISHING,CSIRO PUBLISHING
invertebrate systematics,1.8,CSIRO PUBLISHING,CSIRO PUBLISHING
pacific conservation biology,1.6,CSIRO PUBLISHING,CSIRO PUBLISHING
rangeland journal,1.2,CSIRO PUBLISHING,CSIRO PUBLISHING
wildlife research,1.6,CSIRO PUBLISHING,CSIRO PUBLISHING
northeastern naturalist,0.5,EAGLE HILL INST,EAGLE HILL INST
southeastern naturalist,0.6,EAGLE HILL INST,EAGLE HILL INST
acta ecologica sinica,4.7,ELSEVIER,ELSEVIER
acta oecologica-international journal of ecology,1.3,ELSEVIER,ELSEVIER
agriculture ecosystems & environment,6,ELSEVIER,ELSEVIER
current opinion in insect science,5.8,ELSEVIER,ELSEVIER
ecological complexity,3.1,ELSEVIER,ELSEVIER
ecological economics,6.6,ELSEVIER,ELSEVIER
ecological engineering,3.9,ELSEVIER,ELSEVIER
ecological informatics,5.9,ELSEVIER,ELSEVIER
ecological modelling,2.6,ELSEVIER,ELSEVIER
ecosystem services,6.1,ELSEVIER,ELSEVIER
food webs,1.8,ELSEVIER,ELSEVIER
global ecology and conservation,3.5,ELSEVIER,ELSEVIER
international journal for parasitology-parasites and wildlife,2,ELSEVIER,ELSEVIER
journal of experimental marine biology and ecology,1.8,ELSEVIER,ELSEVIER
landscape and urban planning,7.9,ELSEVIER,ELSEVIER
polar science,1.5,ELSEVIER,ELSEVIER
rangeland ecology & management,2.4,ELSEVIER,ELSEVIER
regional studies in marine science,2.1,ELSEVIER,ELSEVIER
european journal of soil biology,3.7,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,ELSEVIER
basic and applied ecology,3,ELSEVIER GMBH,ELSEVIER
flora,1.7,ELSEVIER GMBH,ELSEVIER
journal for nature conservation,2.2,ELSEVIER GMBH,ELSEVIER
pedobiologia,2,ELSEVIER GMBH,ELSEVIER
perspectives in plant ecology evolution and systematics,3.5,ELSEVIER GMBH,ELSEVIER
biological conservation,4.9,ELSEVIER SCI LTD,ELSEVIER
fungal ecology,1.9,ELSEVIER SCI LTD,ELSEVIER
ecohydrology & hydrobiology,2.7,EUROPEAN REGIONAL CENTRE ECOHYDROLOGY POLISH ACAD SCIENCES,EUROPEAN REGIONAL CENTRE ECOHYDROLOGY POLISH ACAD SCIENCES
annales zoologici fennici,0.9,FINNISH ZOOLOGICAL BOTANICAL PUBLISHING BOARD,FINNISH ZOOLOGICAL BOTANICAL PUBLISHING BOARD
frontiers in conservation science,1.9,FRONTIERS MEDIA SA,FRONTIERS MEDIA SA
frontiers in ecology and evolution,2.4,FRONTIERS MEDIA SA,FRONTIERS MEDIA SA
frontiers in forests and global change,2.7,FRONTIERS MEDIA SA,FRONTIERS MEDIA SA
phytocoenologia,0.8,GEBRUDER BORNTRAEGER,GEBRUDER BORNTRAEGER
acta amazonica,0.7,INST NACIONAL PESQUISAS AMAZONIA,INST NACIONAL PESQUISAS AMAZONIA
aquatic microbial ecology,1.7,INTER-RESEARCH,INTER-RESEARCH
marine ecology progress series,2.2,INTER-RESEARCH,INTER-RESEARCH
interciencia,0.4,INTERCIENCIA,INTERCIENCIA
human-wildlife interactions,0.9,JACK H BERRYMAN INST,JACK H BERRYMAN INST
tropics,1,JAPAN SOC TROPICAL ECOLOGY,JAPAN SOC TROPICAL ECOLOGY
south of russia-ecology development,0.3,KAMERTON PUBLISHER,KAMERTON PUBLISHER
proceedings of the linnean society of new south wales,0.2,LINNEAN SOC NEW SOUTH WALES,LINNEAN SOC NEW SOUTH WALES
theoretical and applied ecology,0.5,"LLC PUBLISHING HOUSE, KAMERTON","LLC PUBLISHING HOUSE, KAMERTON"
contemporary problems of ecology,0.7,MAIK NAUKA/INTERPERIODICA/SPRINGER,MAIK NAUKA/INTERPERIODICA/SPRINGER
czech polar reports,0.5,MASARYK UNIV PRESS,MASARYK UNIV PRESS
diversity-basel,2.1,MDPI,MDPI
ecologies,1.7,MDPI,MDPI
fire-switzerland,3,MDPI,MDPI
natural areas journal,1,NATURAL AREAS ASSOC,NATURAL AREAS ASSOC
natural history,<0.1,NATURAL HISTORY MAGAZINE,NATURAL HISTORY MAGAZINE
nature ecology & evolution,14.1,NATURE PORTFOLIO,SPRINGER
new zealand journal of ecology,1.9,NEW ZEALAND ECOL SOC,NEW ZEALAND ECOL SOC
northwest science,0.5,NORTHWEST SCIENTIFIC ASSOC,NORTHWEST SCIENTIFIC ASSOC
vie et milieu-life and environment,0.2,OBSERVATOIRE OCEANOLOGIQUE BANYULS,OBSERVATOIRE OCEANOLOGIQUE BANYULS
biosystems diversity,0.7,OLES HONCHAR DNIPROPETROVSK NATL UNIV,OLES HONCHAR DNIPROPETROVSK NATL UNIV
polar research,1.9,OPEN ACADEMIA AB,OPEN ACADEMIA AB
aob plants,2.6,OXFORD UNIV PRESS,OXFORD UNIV PRESS
biological journal of the linnean society,2,OXFORD UNIV PRESS,OXFORD UNIV PRESS
conservation physiology,2.6,OXFORD UNIV PRESS,OXFORD UNIV PRESS
evolution,3.1,OXFORD UNIV PRESS,OXFORD UNIV PRESS
evolution letters,3.8,OXFORD UNIV PRESS,OXFORD UNIV PRESS
evolution medicine and public health,3.3,OXFORD UNIV PRESS,OXFORD UNIV PRESS
genome biology and evolution,3.1,OXFORD UNIV PRESS,OXFORD UNIV PRESS
integrative organismal biology,2.2,OXFORD UNIV PRESS,OXFORD UNIV PRESS
isme journal,10.8,OXFORD UNIV PRESS,OXFORD UNIV PRESS
journal of plant ecology,3,OXFORD UNIV PRESS,OXFORD UNIV PRESS
molecular biology and evolution,11,OXFORD UNIV PRESS,OXFORD UNIV PRESS
systematic biology,6.1,OXFORD UNIV PRESS,OXFORD UNIV PRESS
behavioral ecology,2.5,OXFORD UNIV PRESS INC,OXFORD UNIV PRESS
journal of heredity,3,OXFORD UNIV PRESS INC,OXFORD UNIV PRESS
bulletin of the peabody museum of natural history,2.2,PEABODY MUSEUM NATURAL HISTORY-YALE UNIV,PEABODY MUSEUM NATURAL HISTORY-YALE UNIV
neobiota,3.8,PENSOFT PUBLISHERS,PENSOFT PUBLISHERS
neotropical biology and conservation,0.7,PENSOFT PUBLISHERS,PENSOFT PUBLISHERS
one ecosystem,1.8,PENSOFT PUBLISHERS,PENSOFT PUBLISHERS
biochemical systematics and ecology,1.4,PERGAMON-ELSEVIER SCIENCE LTD,PERGAMON-ELSEVIER SCIENCE LTD
arid ecosystems,0.6,PLEIADES PUBLISHING INC,PLEIADES PUBLISHING INC
journal of evolutionary biochemistry and physiology,0.6,PLEIADES PUBLISHING INC,PLEIADES PUBLISHING INC
russian journal of biological invasions,0.8,PLEIADES PUBLISHING INC,PLEIADES PUBLISHING INC
russian journal of ecology,1,PLEIADES PUBLISHING INC,PLEIADES PUBLISHING INC
polish journal of ecology,0.4,POLISH ACAD SCIENCES INST ECOLOGY,POLISH ACAD SCIENCES INST ECOLOGY
polish polar research,0.9,"POLSKA AKAD NAUK, POLISH ACAD SCIENCES","POLSKA AKAD NAUK, POLISH ACAD SCIENCES"
ideas in ecology and evolution,0.2,QUEENS UNIV,QUEENS UNIV
aquatic invasions,2.2,REGIONAL EURO-ASIAN BIOLOGICAL INVASIONS CENTRE-REABIC,REGIONAL EURO-ASIAN BIOLOGICAL INVASIONS CENTRE-REABIC
ecology and society,3.6,Resilience Alliance,Resilience Alliance
biology letters,2.8,ROYAL SOC,ROYAL SOC
proceedings of the royal society b-biological sciences,3.8,ROYAL SOC,ROYAL SOC
evolutionary bioinformatics,1.7,SAGE PUBLICATIONS LTD,SAGE PUBLICATIONS LTD
hacquetia,0.6,SCIENDO,SCIENDO
revista chilena de historia natural,1.3,SOC BIOLGIA CHILE,SOC BIOLGIA CHILE
journal of soil and water conservation,2.2,SOIL WATER CONSERVATION SOC,SOIL WATER CONSERVATION SOC
african journal of wildlife research,0.8,SOUTHERN AFRICAN WILDLIFE MANAGEMENT ASSOC,SOUTHERN AFRICAN WILDLIFE MANAGEMENT ASSOC
southwestern naturalist,0.2,SOUTHWESTERN ASSOC NATURALISTS,SOUTHWESTERN ASSOC NATURALISTS
aquatic ecology,1.7,SPRINGER,SPRINGER
behavioral ecology and sociobiology,1.9,SPRINGER,SPRINGER
