Timestamp,Extractor,Journal,info_found,policy_location,policy_text1,policy_URL1,policy_text2,policy_URL2,replications_mention,replication_policy_mentions,accept_category_mentions,replication_policy_not,accept_category_not,novelty,novelty_text,novelty_URL,Translation,JIF
46:31.1,MP,acta amazonica,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,0.7
28:00.8,LC,acta ecologica sinica,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Ecological Frontiers publishes novel research in ecology, promotes the exchange and cooperation of ecologists and ecological research between developing and developed countries./ We particularly welcome reviews on recent developments in ecology, novel experimental studies, and short communications, new theories, methodologies, new techniques, book reviews, and research news and laboratory introductions.",https://www.sciencedirect.com/journal/ecological-frontiers/about/aims-and-scope,NA,4.7
27:15.2,LC,acta oecologica-international journal of ecology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,1.3
25:28.8,LC,african journal of ecology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Research Article (5000 word limit, exclusive of tables, figures and references) – this is the core part of the Journal, containing original research results placed in the context of ecological or conservation theory, and should fundamentally advance and/or change our understanding of ecological principles or of ecological scenarios in Africa.",NA,NA,1.1
22:36.1,LC,african journal of range & forage science,Yes,"Journal Author instructions/guidelines, Accepted article types",Research papers should not report work that simply followed well-established protocols and report familiar findings without some context that adds novelty (e.g. results for subhumid areas that are different to previous work done in arid areas).,https://www.nisc.co.za/media/docs/140854944420.pdf,Research Notes: papers reporting descriptive findings or based on routine protocols that provide valuable case studies but lack novelty;,https://www.nisc.co.za/media/docs/140854944420.pdf,No,NA,NA,Accept with neutral/no position,Special article type,Yes,Papers are evaluated on the quality and originality of the material and its interest to our reader-ship,https://www.nisc.co.za/media/docs/140854944420.pdf,NA,1.4
58:51.3,MP,african journal of wildlife research,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,0.8
15:55.5,MP,agriculture ecosystems & environment,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Agriculture, Ecosystems & Environment publishes novel, high impact research conducted at various spatial scales - from experimental plots and field trials to farm-, agroecosystem- and landscape-level investigations - with preference given to hypothesis-based and/or data-rich investigations. We particularly encourage broadly significant studies of agroecosystems that deal with cross-scale interactions, bridge scientific disciplines or integrate new knowledge and perspectives relevant to agroecosystem management or agri-environmental policies. / Highlights are a short collection of bullet points that should capture the novel results of your research as well as any new methods used during your study.",https://www.sciencedirect.com/journal/agriculture-ecosystems-and-environment/about/aims-and-scope / https://www.sciencedirect.com/journal/agriculture-ecosystems-and-environment/publish/guide-for-authors,NA,6
42:16.1,MP,american journal of biological anthropology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,1.7
55:45.7,MP,american journal of physical anthropology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,2.6
44:18.9,LC,american naturalist,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Its goals are to publish articles that are of broad interest to the readership, pose new and significant problems, introduce novel subjects, develop conceptual unification, and change the way people think. / Thus, the journal welcomes manuscripts that develop new conceptual syntheses, pose new and significant problems, introduce novel subjects to the readership, or change the way people think about a topic. Manuscripts are evaluated for their interest to the broad international readership of researchers in organismal biology.",https://www.journals.uchicago.edu/journals/an/instruct,NA,2.4
35:03.9,LC,animal biotelemetry,Yes,Accepted article types,"When smaller data sets or data from small sample sizes are presented that may extend previously published research, or that may report on additional controls, confirmatory findings, negative results or small-scale pilot studies with limited sample size, then the Case Report short article type (previously called ‘Telemetry case report’) should be considered.",https://animalbiotelemetry.biomedcentral.com/submission-guidelines/preparing-your-manuscript/research,NA,NA,No,NA,NA,Accept with neutral/no position,Special article type,No,NA,NA,NA,2.4
36:59.2,MP,animal conservation,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Animal Conservation provides a forum for rapid publication of novel, peer-reviewed research into the conservation of animal species and their habitats. / A central theme is to publish important new ideas of broad interest and with findings that advance the scientific basis of conservation. / Abstract of not more than 300 words which should list the main results and conclusions. The abstract should also explain the importance of the paper in a way that is accessible to non-specialists and should describe the novel aspects of the research and highlight the relevance of the findings to other taxa, conservation practice or policy, or general principles in conservation biology.",https://zslpublications.onlinelibrary.wiley.com/hub/journal/14691795/aims-and-scope/read-full-aims-and-scope / https://zslpublications.onlinelibrary.wiley.com/hub/journal/14691795/about/author-guidelines,NA,2.8
42:40.5,LC,annales zoologici fennici,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,0.9
53:20.8,LC,annual review of ecology evolution and systematics,Out of scope for this journal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,11.2
01:44.2,MP,anthropological science,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,1.9
57:11.1,LC,aob plants,Yes,About the journal (e.g. aims and scope),"We leave judgements about the importance and impact of published works to the scientific community, and we welcome any outputs that are performed rigorously and explained clearly and which represent substantive contribution to knowledge, including:

experimental, theoretical, descriptive, and confirmatory studies, including negative results;","https://academic.oup.com/aobpla/pages/General_Instructions#Aims,%20Scope%20And%20Ethos",NA,NA,No,NA,NA,Accept and encourage,Generally accepts,Yes,"In order to be published in AoBP, a paper must substantially advance fundamental knowledge and/or understanding in an area closely related to one of the journal's Sections. Purely descriptive studies are welcome in principle, but must compensate with an element of breadth and/or depth by providing unusually rich and novel observations likely to lead to new insights in future work.","https://academic.oup.com/aobpla/pages/General_Instructions#Aims,%20Scope%20And%20Ethos",NA,2.6
47:26.3,MP,applied ecology and environmental research,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,0.6
11:02.4,LC,applied vegetation science,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,2
27:54.0,LC,aquatic ecology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,1.7
09:23.0,MP,aquatic invasions,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"Covering letter (Word 2007 file): as part of the process of submission, authors are also kindly requested to provide an electronic covering letter to editors of Aquatic Invasions, explaining why the work is novel, topical (under the scope of the journal - please check at the Journal Information page) and of broad international interest.",NA,NA,2.2
07:25.5,MP,aquatic microbial ecology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Research Article:	Describing novel research / Note: Brief report on novel findings not warranting a full Research Article but significant enough for publication / Emphasize timeliness and novel aspects of the work (this is particularly important for Notes)",https://www.int-res.com/for-authors/author-guidelines,NA,1.7
12:31.2,MP,arctic science,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"Perspective: A focussed, well-argued article that presents a novel idea or perspective that challenges current thinking on Arctic science issues.",https://cdnsciencepub.com/journal/as/authors#guidelines,NA,2.7
33:38.1,LC,arid ecosystems,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,0.6
00:10.4,LC,austral ecology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,1.6
48:09.7,MP,australian systematic botany,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,1.5
36:48.0,LC,basic and applied ecology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,3
51:20.8,MP,behavioral ecology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,2.5
05:29.4,LC,behavioral ecology and sociobiology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Original Papers must present scientific results that are essentially new and should be structured according to the guidelines.,https://link.springer.com/journal/265/submission-guidelines,NA,1.9
43:37.2,LC,biochemical systematics and ecology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,1.4
25:41.0,MP,biodiversity and conservation,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,3
56:35.7,LC,biogeosciences,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,3.9
