"Timestamp","Extractor","Journal","info_found","policy_location","policy_text1","policy_URL1","policy_text2","policy_URL2","replications_mention","replication_policy_mentions","accept_category_mentions","replication_policy_not","accept_category_not","novelty","novelty_text","novelty_URL","Translation","JIF"
2025-07-03 11:46:31.144,"MP","acta amazonica","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"0.7"
2025-06-13 16:28:00.843,"LC","acta ecologica sinica","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Ecological Frontiers publishes novel research in ecology, promotes the exchange and cooperation of ecologists and ecological research between developing and developed countries./ We particularly welcome reviews on recent developments in ecology, novel experimental studies, and short communications, new theories, methodologies, new techniques, book reviews, and research news and laboratory introductions.","https://www.sciencedirect.com/journal/ecological-frontiers/about/aims-and-scope",NA,"4.7"
2025-06-25 21:27:15.182,"LC","acta oecologica-international journal of ecology","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"1.3"
2025-06-13 09:25:28.766,"LC","african journal of ecology","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Research Article (5000 word limit, exclusive of tables, figures and references) – this is the core part of the Journal, containing original research results placed in the context of ecological or conservation theory, and should fundamentally advance and/or change our understanding of ecological principles or of ecological scenarios in Africa.",NA,NA,"1.1"
2025-06-13 16:22:36.13,"LC","african journal of range & forage science","Yes","Journal Author instructions/guidelines, Accepted article types","Research papers should not report work that simply followed well-established protocols and report familiar findings without some context that adds novelty (e.g. results for subhumid areas that are different to previous work done in arid areas).","https://www.nisc.co.za/media/docs/140854944420.pdf","Research Notes: papers reporting descriptive findings or based on routine protocols that provide valuable case studies but lack novelty;","https://www.nisc.co.za/media/docs/140854944420.pdf","No",NA,NA,"Accept with neutral/no position","Special article type","Yes","Papers are evaluated on the quality and originality of the material and its interest to our reader-ship","https://www.nisc.co.za/media/docs/140854944420.pdf",NA,"1.4"
2025-07-03 10:58:51.289,"MP","african journal of wildlife research","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"0.8"
2025-07-03 11:15:55.454,"MP","agriculture ecosystems & environment","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Agriculture, Ecosystems & Environment publishes novel, high impact research conducted at various spatial scales - from experimental plots and field trials to farm-, agroecosystem- and landscape-level investigations - with preference given to hypothesis-based and/or data-rich investigations. We particularly encourage broadly significant studies of agroecosystems that deal with cross-scale interactions, bridge scientific disciplines or integrate new knowledge and perspectives relevant to agroecosystem management or agri-environmental policies. / Highlights are a short collection of bullet points that should capture the novel results of your research as well as any new methods used during your study.","https://www.sciencedirect.com/journal/agriculture-ecosystems-and-environment/about/aims-and-scope / https://www.sciencedirect.com/journal/agriculture-ecosystems-and-environment/publish/guide-for-authors",NA,"6.0"
2025-07-03 10:42:16.144,"MP","american journal of biological anthropology","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"1.7"
2025-07-03 11:55:45.655,"MP","american journal of physical anthropology","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"2.6"
2025-06-20 11:44:18.877,"LC","american naturalist","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Its goals are to publish articles that are of broad interest to the readership, pose new and significant problems, introduce novel subjects, develop conceptual unification, and change the way people think. / Thus, the journal welcomes manuscripts that develop new conceptual syntheses, pose new and significant problems, introduce novel subjects to the readership, or change the way people think about a topic. Manuscripts are evaluated for their interest to the broad international readership of researchers in organismal biology.","https://www.journals.uchicago.edu/journals/an/instruct",NA,"2.4"
